Date : 2023-12-08 14:24:52
Directory : /Users/thomascantwell/pixel-vee
Total : 118 files,  16720 codes, 2536 comments, 1051 blanks, all 20307 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/thomascantwell/pixel-vee/src/Controls/events.js               | JavaScript |        222 |         81 |         21 |        324 |
| /Users/thomascantwell/pixel-vee/src/Controls/shortcuts.js            | JavaScript |        333 |         72 |          4 |        409 |
| /Users/thomascantwell/pixel-vee/src/DOM/render.js                    | JavaScript |          4 |          0 |          1 |          5 |
| /Users/thomascantwell/pixel-vee/src/DOM/renderLayers.js              | JavaScript |         33 |          4 |          5 |         42 |
| /Users/thomascantwell/pixel-vee/src/DOM/renderModes.js               | JavaScript |         31 |          9 |          3 |         43 |
| /Users/thomascantwell/pixel-vee/src/DOM/renderPalette.js             | JavaScript |         47 |         15 |         11 |         73 |
| /Users/thomascantwell/pixel-vee/src/DOM/renderVectors.js             | JavaScript |        174 |         35 |         22 |        231 |
| /Users/thomascantwell/pixel-vee/src/GUI/cursor.js                    | JavaScript |         80 |         27 |         10 |        117 |
| /Users/thomascantwell/pixel-vee/src/GUI/curve.js                     | JavaScript |         89 |         13 |         11 |        113 |
| /Users/thomascantwell/pixel-vee/src/GUI/ellipse.js                   | JavaScript |        177 |         24 |         15 |        216 |
| /Users/thomascantwell/pixel-vee/src/GUI/fill.js                      | JavaScript |         29 |          7 |          3 |         39 |
| /Users/thomascantwell/pixel-vee/src/GUI/grid.js                      | JavaScript |         42 |         12 |          3 |         57 |
| /Users/thomascantwell/pixel-vee/src/GUI/select.js                    | JavaScript |        111 |         92 |         33 |        236 |
| /Users/thomascantwell/pixel-vee/src/GUI/transform.js                 | JavaScript |         61 |          5 |          3 |         69 |
| /Users/thomascantwell/pixel-vee/src/GUI/vector.js                    | JavaScript |        509 |        101 |         27 |        637 |
| /Users/thomascantwell/pixel-vee/src/Menu/events.js                   | JavaScript |         71 |         21 |          7 |         99 |
